मां	अम्मा
टिकट           टिकट
टिप्पणी        विचार
टिप्पणी        थोड़े च गल्ल गलाणी
टिकना         टिकणा
टिकना         ठैह्रना
टिकना         बसणा
टिकाऊ        पक्का
टिकिया        टिक्की
टिकट           टिकट
टिड्डा             टिड्डा
टिड्डी             टिड्डी 
टीका            टीका
टीका            सूई
टीका            टिक्का
टीका            तमोल़
टीका            भाष्य
टीम              टीम
टीवी             टैलीविजन
टीकाकार      टीका लगाणे वाल़ा
टीकाकार     टीका करने वाल़ा
टिकाकरण   टीके लगाणा
टीचर            माश्टर
टीन              पीपा
टीन्डा           इक सब्जी
टीस             मने दी पीड़               
टी                चा:
तिकड़म          चाल
तिकड़म         सच झूठ
तिकोना        तरकोणा
 तिगुना          त्रिगुणा           
 तिजोरी         तजोरी
 तितरबितर    खिंडविंड
 तितली          तितली
 तिथि             तित्थ
तिनका           तिणका
तिपाई            तरपाई
तिपाई            तिन्न पैरी
तिमाही            तमाई
 तिमिर            न्हेरा
तिमंजिला       तिन्न मंजला
तिरंगा             तरंगा
 तिरस्कार        बेस्ती
 तिरपाल          तरपाल
 तिरस्कृत         बेस्त 
तिरसठ            तरेह्ट
तिरानबे।         त्रयानुएं
 तिस               तिन्नी
तिराहा             तरस्ता
तिरासी            त्रयास्सी
तिलक             टिक्का
 तिलमिलाहट   बेचैनी
 तीक्ष्ण              तिक्खा
तीक्ष्णता          तिक्खापण
तीखा                 तिक्खा
तीखापन         तिक्खापण
तीतर               तित्तर
तीन                 तिन्न
 तीर्थ               तीरथ
 तीर्थयात्रा        तीरथ जात्तर
तीर्थयात्री       तीरथ जात्तरू
तिलांजलि    मोयो माह्णुए जो तिल पाणी देणा    
तिलांजलि    सदा वास्ते छडणा
तिल्ली             तूह्ल्ली
 तिहत्तर           त्यत्तर
 तिहाई           तिहाई
तिहाई            त्रीया हिस्सा
तिहरा             त्रीह्रा
ती                   तीह्
तीर                 तीर
तीर                 बाण
तीर               किनारा
तीरा               तीरा        
तीरा         कमीजा देयां 
मूंह्डयां दी दूरी
तीरा              न्हेरा
तीरंदाज      तीर चलाणे वाल़ा
तीरंदाजी     तीर चलाणे दा हुनर
तीसरा                 त्रीया
 तुक             कवता आखिरी चरणां दा मेल़
 तुकबन्दी    तुक मिलाणा
 तुकबन्दी     कवता बणाणा
 तुनकमिजाज  रह्ड़ू 
तुनकमिजाज   चिड़चिड़ा
तुम                   तूं
तुझे                तिज्जो
तुम्हारा              तेरा
तुम्हें                तिज्जो
तुम्हें                तुहांजो
तुतलाना      थथ्था बोलणा
तुतलाना       थथल़ाणा
 तुरग               घोड़ा
 तुरना             चलणा
तुरना              जाणा
तुरप              मन्नया रंग
तुर्क               मुस्रमान
तुर्क         तुर्किस्तान दा बाशिंदा
तुलना            मापणा
तुलना            तोलणा
तुलना            इक्को देया
तुलनात्मक    कुसी चीज़ा या विसे दे सब्भनी पक्खां पर विचार  विमर्स
तुलसी              तुल़सी
तुलनीय    तुलना करने जोग          
तूफान             तफान
तूफानी          तफानी
तूफानी          ऊधमी
तूलिका          तिल्ली   
तूलिका    रंग करने दी कूची
तूलिका           कलम
तूल                लम्बाई
तूल              गल्ल बधाणा
तूल                फैलाव
तूल             घाए दी नुक्क
तूल                    रूं
तूल              गैह्रा लाल रंग
तृप्त                रज्जया
तृप्ति               धर्यांस
तृतीया             तृतीया
तृतीया              तीज
तेईस                  त्रेई
 तेईसवां           त्रेउंआं
दिलाना          दुआणा
दिलासा          ढाढस
दिलासा          हौसला
दिलासा         तसल्ली
दिलासा          हीमत
दिवंगत          सुर्गवासी
दिवंगत          मोया
दिवाला          दुआल़ा
दिवालिया      दुआल़ापण
दिव्य              देवत्यां सांईं
दिवस              धियाड़ा
दिवस              दिन
दिवसीय          दिनां दा
दिवाली           दयाल़ी
दिसंबर            दसंबर
दीद                 दरसन    
दीद                 दुह्सणा
दीद                 दिदार
दीदी                भैण
दीपक              दीया
दीया              दयूठल़ू              
दीनता            गरीबी
दीवान            चौकी       
दीवान            मंत्री
दीपमाला      दीयां दी लैण
दीमक               सींक
 दीर्घ                  लम्मा
दीर्घायु              लम्मी उमर
दीर्घकालिक    लम्मे समे दी
दीर्घकालीन     मते टैम ते
दीर्घकालीन     पुराणी गल्ल
दीर्घकालीन     लम्मे समे दी
दीवाला           दुआल़ा 
दिवान            राज्जे दा सलाहकार
 दिवाकर         सूरज
दीवानी        प्यारे च पागल
दीवानगी        भौंतरन
दीवानगी      कुसी पर मरना
दीवानगी      प्यारे च पागल होणा
दुख                गूक्खू
दुख                पीड़
दुआ               दुआ
दुखद          वसोसे दी गल्ल
दुखद              दुखदाई
दुनिया             दुनिया
दुनिया              संसार
 दुकान             दकान
 दुसाध्य            कठण
दुस्साहस          हौसला
दुकानदार         दकानदार
दुखडा              पीड़
दुखडा              गूक्खू
दुखडा              दुख
दुखडा             तकलीफ़        
दुखाना            दुखी करना
दुखाना            दुखाणा
दुग्ध                 दुद्ध
दुगना               दुगणा
दुत्कार             झिड़क
दुत्कार              डांट
दुत्कारना         बेस्ती करना
दुत्कारना         झिड़कणा
धीरे                   हौल़ें
धुंध                    धूरी
धुंधला               मिन्हां
धुंधला              खौह्ल़ा
धुंधला              धुंधल़ा              
दुआ                 प्राथना
धुआंधार          जबरदस्त
धुआंधार          जोरदार
धुआंधार         तड़ातड़
धुकधुकी         धुकधुक
धुकधुकी         घबराह्ट
धोना               धोणा
धना                धनवान
धना             मते पैसे वाल़ा
धुन                  लगन
धुआं                   धूं
धुनाई               पंजाई
धुनाई               धुनाई
धूना                 धूणा
धूप                   धुप्प
धूल                 धूह्ड़
धुलाई             धुआई
धोती               धोती
धोना               धोणा
धोबिन            धोबण
धोबी               धोबी
धौंकनी           धौंकणी
धोखाधड़ी      बेइमानी
धोखाधड़ी      छल़ कपट  
धोखेबाज          ठग्ग     
धोखेबाज        बेइमान
न                       नी
नंगा                  नंगा
नंगा                 खड़नंग
नंगा           सब पता चलणा
नंदी           सिवां दी सुआरी
नंबर                    बारी
नंबर                   गिणती
नंबर                  आंकड़ा
नंबरदार             लंबरदार
नंबरदारन         लंबरदारनी
नंबरी               इक नंबरे दा
नंबरी            खरा या खराब
नंबरी             दो फौजी जेह्ड़े कट्ठे भर्ती होयो होण
न                          नी
नानुकर            टाल़मटोल़
ध्यान                  ध्यान
ध्यान                  जुगती
ध्यान                गौरा कन्नें
ध्येय                   इरादा
ध्वज                   झंडा
नजदीक              नेड़ें 
नजारा               नजारा
ननिहाल             माम्मे
ननद                  नणान
ननदोई             नणदोइया
नन्हा                 निक्का
नन्हा                लौह्का
नहीं                     नी
नई                      नौईं
नया                    नौआं
नयापन              नौआंपण
नगीना                नग्ग
नचाना                 नचांणा
नचिकेता    ऋषि वाजश्रवा दा पुत्तर जिन्नी यमराज ते ब्रह्मविद्या हासल कित्ती
नचिकेता             अग्ग
नचार                  लाचार
नफरत                नफरत
नफा                     फैदा
नफाखोर         मुनाफाखोर
नफाखोर         फैदा कमाणे आल़ा
नबेडना              मुकाणा
नबेडना           निबटारा करना
नबेडना           पूरा करना
नब्ज                     नाड़ी
नवाब           मुस्रमानां दी पदवी
नवाब           ठाटबाट वाल़ा
नब्बे                      नब्बे
नमक                     लूण
नमकीन               लूणका
नमकहराम          खाद्यो भुलाणे आल़ा
नमकहराम         धोखेबाज
नमकहराम           कपटी
नमकहराम      जिसा पत्तल़ी खाणा तिसा छींडा करने वाल़ा       
नमूना                   नमूना
नम्र                      नयोंआं
नम्रतापूर्वक        नयोंईं करी
नरक                     नरक
नरक.                   खराब
नरक                     गंदा
नारकीय           नरके दा
 नारकीय       नरके साह्यें          
नारकोटिक्स    नींदरा दी दुवा 
नारकोटिक्स    नसीली दुआ
नारकोटिक्स     बेहोसिया दी दुआ
नरम                      मुलैम
नरम                     कुंगल़ा
नरम                      कूल़ा
नरम                  लिचपिचा
गरम                     तत्ता
प्रतिग्रहण     लैणा
 प्रतिग्रहण    दान लैणा
प्रतिग्रहण     व्याह करना
प्रतिग्रहण     कब्जा 
प्रतिछाया     छौंटा     
प्रतिछाया     ढौर
प्रतिछाया     तस्वीर
प्रतिछाया     मूरति
प्रतिज्ञा         वचन
प्रतिज्ञा         संकल्प
प्रतिज्ञा         वायदा
प्रतिदिन       रोज़ ई
प्रतिध्वनि     गूंज     
प्रतिध्वनि     उआज़ वापस औणा
प्रतिदिन       हर रोज़
प्रतिनिधि      नुमैंइंदा
प्रतिनिधित्व  नुमैंइंदगी
प्रतिपाद्य     समझाणे लैक 
प्रतिपाद्य     गलाणे जोग्गा
प्रतिपाद्य     जिसदा विस्लेसण कित्ता जाई सकै
प्रतिपल       हर वेल्ले
प्रतिपल        हर वग्त
प्रतिपल        हर पल
प्रतिफल       फैदा
प्रतिफल       फल़
प्रतिफल       भुगतान
प्रतिफल       नतीजा
प्रतिफल       इनाम
प्रतिबंधित    रोक्कया    
प्रतिबंधित    बंद
प्रतिबंधित    गुप्त
प्रतिबंध        रोक
प्रतिपक्ष       विपक्ष
प्रतिपक्ष     वरोधी पक्ख     
प्रतिपन्न      इज़्जतदार
 प्रतिपन्न      जाणेया
प्रतिपन्न       अपनाया
प्रतिपन्न        साबित
प्रतिपन्न        सुरू कित्तेया
प्रतिपन्न        हारेया
प्रतिपन्न        सरणागत
प्रतिपादन    विस्लेसण     
प्रतिबिंब      परछौंआँ
प्रतिभा        कुसल़ता        
प्रतिभा         लाइकी
प्रतिभा         सलाहियत
प्रतिभूति      मुचलका 
प्रतिभूति      कर्जे वाल़े सरकारी कागद
प्रतिभूति       सिकोरटी
प्रतियोगिता   इम्तयान
प्रतियोगिता    होड़
प्रतियोगी       प्रतियोगी
प्रतियोगी      प्रतिस्पर्धी
प्रतियोगी      मुकाबला करने वाल़ा
प्रतिरूप       इक्को देया
प्रतिरूप       हूबहू
प्रतिरूप       फोटू
प्रतिरोध       रोकणा
प्रतिरोध      ठाकणा
प्रतिरोध      बेस्त करना
प्रतिरोधक  रोकणे वाल़ा
प्रतिशत       प्रतिसत
प्रतिशत       फीसदी
प्रतिशत       परसेंट
प्रतिशत       हरेक सौए पर      
प्रतिष्ठा         इज़्ज़त
प्रतिष्ठित       इज़्ज़तदार
प्रतिष्ठान       जगह
प्रतिष्ठान     अकैदमी
प्रतिष्ठान      संस्था
प्रतिलिपि      नकल
 प्रतिवेदन       रपोट
प्रतिवेदन         विवरण
प्रतिवेदन        लेखाजोखा
प्रतिवेदन        पराथना
 प्रतिवाद        वरोध
प्रतिवाद         बैह्स
प्रतीक           नसाणी
प्रतीक            कोई दुस्सणे वाल़ी चीज़ जेह्ड़ी नी दुस्सणे वाल़िया दी याद दुआई दै
प्रतीक            मूरत या फोटू
प्रतीक            लच्छण
प्रतीकात्मक    प्रतीक संबंधी 
प्रतीकात्मक    साह्यैं
प्रतीक्षा          नियाल़प
 प्रतीक्षा         इंतज़ार
प्रतीची          पच्छिम 
प्रतीत            मसूस
प्रत्येक          हर इक           
प्रत्यक्ष          हाक्खीं सामणे            
प्रत्यर्पण        वापस करना
प्रत्यर्पण        ढ्हाणा
प्रत्यय           वसुआसे लैक
प्रत्यय              सबूत
प्रत्यय             सब्दां या धातुआं पचांह् लगणे वाल़े अक्खर जेह्ड़े अर्थ बदली देन
प्रत्याशी          मीदवार
प्रत्युत्तर          जवाब
प्रत्युत्तर      जवाबे दा जवाब
प्रत्युत            अपर
प्रत्युत             पर
प्रथम             पैह्ला
प्रथा               रुआज
प्रथित            मस्हूर
 प्रथित           लम्माचौड़ा
प्रथित           परथा ने जुड़या
प्रदक्षिणा        फेरी
प्रदक्षिणा        परिक्रमा
प्रदर्शन           दिखावा
प्रदूषण           परदूसण
प्रदूषण           असुद्ध
प्रदूषण            खराब
 प्रदर्शनी         प्रदर्सन करना
 प्रदर्शनी           दिखावा
प्रवासी             वदेसी
प्रवासी            घरे ते बाह्र बसणे वाल़ा
प्रयोजन          मतबल
प्रयोजन          राह् वाह्
प्रयोजन           लैणा देणा
प्रलय               परलै
प्रलय               खात्मा
प्रलय              जलजला
प्रलोभन          लाल़च
प्रलाप             विलाप
प्रलाप             सोग पिटणा
प्रलाप             ढां मारी रोणा
प्रलेख             लिखत
प्रलेख             कागजात
प्रलेख             दस्तावेज
प्रलेख            अनुबंध पत्तर
प्रलेख            करारनामा
बांट              बंड
बंद               बंद
बजरंग         तागतवर
बजरंग         हड़ुमान
बजरंग       बज्रे सांईं सख्त
बंदनवार       तोरन
बंदर             बांदर
बंदा             आदमी
बंधित          ब्हन्नया
बंधित          ठाह्कया
बंधित          रोकया
बंदिश          रुकावट
बंदिश           ब्हन्नण
बंदिश           प्रतिबंध
बंदूक            बंदूक
बंधक           कैदी
बंधन            ब्हन्नण
 बंधना         ब्हजणा
बंधवा         ब्हन्नया
बंधाना        ब्हन्नाणा
बंधु              भ्रॉ
बंधुत्व          भाईचारा
बंधुता          भाईपण
बंधुता     भ्राँ सांईं व्यभार
बंधुता          दयाभावना
बंधेज             ब्हन्नण
बंध्या              बंह्झ
बंब                बंब
बंबा              बह्म्बी
बंसी             गल़गोजू
बक बक       बक बक 
बक बक     चवड़ चवड़
बकना            बकणा
बकरा             बकरू
बकरी             बकरी
बकवास         बकुआस
बक्सुआ         बक्सूआ
बकाया           बाकी
वकार             वकार
बकुला           बगला
बकरा              छेलू
बखान             गलाणा
बखिया           बक्खी
बखिया           अंदरूनी गल्ल
वक्त               वगत
बक्शना          मॉफ करना
बख्शीश         बक्सीस
बाग                 बाग
बाग               बगीचा
बगड़                सण
बगड़          उजाड़ जगह
भगना             भाणजा
भगना              न्हसणा
बगल                कच्छ
बगुला              बगला
बगुला            इक पंछी
बघार               तुड़का
बघार            फणसोण
बगावत         मकाबला
बगावत         झबड़ोणा
बगावत        गलाया नी मनणा
बगार            गोहरन
बगार           बड्डी जगह
बगार         बिना फैदे दा कम्म
बघारना        बधाई करी बोलणा
बग्गी             टांगा
बचत            बचत
बचत            बचाया
बचकाना      निकयाणयां सांह्यीं
बचना            बचणा
भजन           भजन
भजन           भेटां
बचाव           बचाओ
बच्चा             मुन्नू
बच्ची             मुन्नी
बछड़ा            बैह्ड़ू
बछिया          बैह्ड़ी
वजंत्री         बजाणे ऑल़ा
बजना            बजणा
बजाना          बजाणा
बसना            बसणा
बस जरा         ज़रा क
बजरी             बजरी
बजरी          लौह्के पत्थर या पत्थरां दे टुकड़े
बजाज           बजाज
बजाज       कपड़े बेचणे ऑल़ा दुकानदार
बजाज           इक जात
बजाना          बजाणा
बजाएं           बजॉ
बचाबट         बचाया
बटना            बटणा
बटना           बंडोणा
बांटना          बंडणा
बटेर              बटेर
बटोरना         कठेरना
बटोरना          बटोल़ना
बटोही            मुसाफर
बट्टा                पत्थर
बट्टा               बट्टा
बट्टा               तोल
बाढ़                हाड़
बड़का            बडका
बड़ा                बड्डा
बड़ाई            बड्डयाई
बड़प्पन         बड्डापण
बढ़ाई             बधाई
बढ़त             बधया
बढ़ना            बधणा
बढ़ाना          बधाणा
बढ़िया           खरा
बढ़ोतरी         बधणा
बता                गला
बता               बोल
 बतख            बत्तक
बताना           बोलणा
बतलाना        गलाणा
बतलाना       बोलणा
बतलाना       समझाणा
बतलाना        दसणा
बताशा          पतासा
बत्ती 32         बत्ती
बथुआ           इक साग
बाद                परन्त
बस्तर        छत्तीगढ़ च इक जगह 
बिस्तर            बछाण
बदन                पिंडा
बदन               सरीर
 बादल             बद्दल़
बदलाना         बदलाणा
बदला             बदला
बदलाव          बदलाओ
बदली              बदली
बदली            तबादला
बदली              बद्दल़
बदी                  सोग
बदी             न्हेरखा पख
वध                   वध
बधाई               मबारकां
बधिर                बोल़ा
वन                   वण
बनाना              बणाणा
वर्षा                 बरखा
बनाई                बणाई
बनारस             कासी
बचाव               बचॉ
बनावट            बणौअट
बनिया             बणिया
बनियान          बनयान
वनस्पति         जड़ी बूटी
बनेर              बंडेर नदी
बनेला            ??
बन्ना               लाड़ा
बन्नी               लाड़ी
बबुआ            मुन्नू
बम                बम्ब
बया             इक पंछी 
बयान             बखान
बयान             जिक्र             
42                 बताल़ी
बर                  लाड़ा
बर                  वरदान
बरकत            पूरा पौणा 
वर्षा                  बरखा
बर्तन                भांडा
बर्ताव              व्यभार
बरगद              बड़
बरपाना           हल्ला पाणा
 बरपना            रौल़ा पौणा
बहना                 बगणा
बहरा                  बोल़ा
बहलाना            टाल़ना
बहादुर              भ्हादर
बहादुरी            भ्हादरी
 बाहर                बाह्र
बहाल                भ्हाल
बहाव                बहाओ
महीना               म्हीना
बहू                   नूँह
बहुत                जादा
बहुत आई        मती आई
बहुदा              जादातर
बहेलिया         सकारी
बहेड़ा              भ्हेड़ा
बांका               छैल़
बांकुरा             बांका 
बांस                ब्हँज्ज
बस                 मोटर
बरबस            जबरदस्ती   
बरसना             ब्हरना
बरसात             बरखा
बरसी               बारखी
बारह                बारा
बारात              जणेत
बराबर             इक देया
बराबरी           मकाबला
बरामद    चोरिया दा मिलया माल
बरामदा         बरांडा
बड़ी              बड्डी
बर्ना             नी तां
बर्फ              बर्फ
बर्ताव           व्यभार
बर्फी             बरफी
बलशाली      तगड़ा आदमी
बलगम         बलगम
बाला            मुन्नी
बली             तागतवर
बलात्कार     जबरदस्ती
बलिष्ठ          तगड़ा
बल्लभ         प्यारा
बल्ला            बैट
बर बस         जबरदस्ती
बसना           बसणा
बसाना         बसाणा
 बस्ती              पिंड
बस्ती             मोहल्ला
बदसूरत          बुरी सक्ल
बसूल              बसूल
बसूली             गुर्हाकी
बसेरा                घर
बसेरा               सराँ
बस्ता        कताबां दा झोल़ा
बहकना     भकौटियां चढ़ना
बहना               वगणा
 वहकावा          भकौटी
बांध                   ब्हन्न
बांधना             ब्हन्नणा
बांसुरी              गल़गोजू
बाकी                  बच्या
बाखबर       खबरां मुताबक
बाखर                हेस्सा                
बाग                  बगीचा
बागर.              उच्ची जगह               
बागीचा             बगीचा
बाघ                  बाघ
वाजिद             प्यारा    
 बाज               बाज
बाजा              बाज्जा 
बाजार            बजार
बाजारू           बजारू
बाजी              माल्ली
बाट                रस्ता
बाड़ा               मैह्ल
बाड़ी               घर
बाढ़                हाड़    
बाढ़ग्रस्त         हाड़े आल़ी ठाह्र
 वातपित्त        वातपित्त
बातचीत          गलबात
बाटी               बाटी
बातूनी            गलोर
बादल             बद्दल़
बादशाहा       बाशाह्
बादामी          बदामी
बादाम           बदाम
 बाघ              बाघ
बाधक           रोकणे आल़ा
बाधा             बह्नण
बाधित           बह्नया
बान               बाण
वानर            बांदर
बाना             बाणा
वापी             बौड़ी
 बाबू             बाबू
बामन           बौणा
बायां            सज्जा
बार             दिन (सोमबार बगैरा)
बारंबार        पलैं पलैं
बारह           बारा
बारहखड़ी   १२ मातरां लाई क बगैरा अक्खर बोलणे या लिखणे
बारात                जणेत
बारिश               बरखा
बारी                   बरी
बाड़ी                  घर
बारूद               बरूद
बारे                  बारे च
बाल                 मुन्नू
बालक             मुंडू
बालकपन       बच्चयां साह्यें
बाल                बच्चा
बाल्टी             बाल़्टी
बालपन           बचपना
बाला               बच्ची
बालिका          कुड़ी
बालिका          बिट्टी
बालिका          मुन्नी
बारिश             बरखा
बालू                रेत्ता
बाल्टी             बाल्टी
बावजूद           बावजूद
बावड़ी             बौड़ी
बावन              बूंजा
बावर्ची             रसोईया
बाशिंदा            बसिंदा
बास                 रैह्णे दी थां
बासी                बाह्यी
बाहर                बाह्रें
बाहु                  बांह
बाहुल्य              मते
बाहुल्य         मती गिणती च
बाह्य               बाह्रला
बाह्य                 ओपरा
बिंदास             नधड़क
 बिंदास          खुल्ले दिले ने                  
विंधवाना          विन्हाणा
विंबा                कुंदड़ू 
बिकना             बिकणा
बिकवाना         बकाणा
दिखाना           दस्सणा
बिक्री               बिकरी
बिखरना          खिलरना
बिगड़ना          खराब होणा
बिगड़ैल           बिगड़या
बिगड़ैल           बिगड़ियो
बिगड़ैल           बखह्रद
बिगड़ैल           बगड़ौल
बिगाड़             बगाड़
बिगाड़             अणबण
बिगाड़ना        खराब करना
कुता   	 कुता
कुत्ते                   कुत्ते
कुदरती               कुदरती
कुदाल                 कदाल़
कुदाली                कदाल़ी
कुवारा                   कुंआरा
कुवडा़                   कूव्वा
कुवुदि                    वेअकल
कुल़जां                   कुल़जां
कुमकुम                  टिक्का
कुमति                  वुरीअकल
कुमार                   कमार
कुमारी            	    कुआरी
कुमुद                     फुल्ल विष्णु
कुमुदिनी 	     लछमी  फुल्ल
कुंनाल़ा                कनाल़ा
कुमार                   कमार
कुमारन                कमारन
कुमारी                 कुआरी
कोरंगा                 कुणरगं
कुर्की                     कुड़की
कुरकुरा                  करारा
कुर्ता                     कुरतू
कुर्ती                      कुरती
कुर्बानी                  करवानी
कुर्ला                      कुरल
कुलाना                कल़ाणां
कुर्सी                    कुरसी
कुरान                    कुराण
कुरू                     करना
कुरूप                   वेशक्ल
कुरेदना                 सोचणां
कुर्म                    चमड़ा
कुर्की                    ललामी
कुरान                   कुराण
कर्म                      भाग
कुर्बान                  करवान
कुर्मी                    कमाउ
कोला                 किओला
कुलदेवी              कुल़ज
कुलदेवता           कुलदेव 
कुलाचार          रिती रूआज
कुल                 सारे
कुलक्षण             कुलच्छण
कुलचा                   कुलचा
कुल्फी                   कुलफी
कुल्वुलाना             वकलोणा
बुल बुल                वुलवुल
आहट                   ऊआज
लांचा                लालची
कालबां              कलवा
कुली                 मजदूर
कुलीन         उचिया जाति आल़े
कुल्ला              करूल़ा
कुविचार          वुरियां सोचां
कुवेर               धन कवेर
कुवेला            कबेला
कुशल             ठीक-ठाक
कुश्ती               छींन्ज
कुष्मांडा        धूडापेठा
कुसुंभी           कसुंभी
कुषमा             शोभा
सुमित              अच्छा
कसूर               गलती
कोहली           कुल्ला आल़ा
कोहरा              पाला
को हराम        रोल़ा रप्पा
कुहासा           कुचली हसगा
पूजा                  पूजा पाठ
कुदरत                कुतरत
कुदरती                कुदरती
खुद                  अप्पू
गाना                  गाणा
कुदाल़               कदाल़
कूपन                टिकट  
  कुक्क             वोटी
कुजा                 पारू
कव्जा                कव्जा
कुमकुम              टिक्का
कुमारी              कुआरी
कुमुद               फुल्ल
कुडृली            टिपा लग्न
कुम                टिका कग़ोडी
कुमारी              कमारी
कुमुद               फुल्ल
कुम्हार              कम्हार
कुंडली              टीपा
कुर्ता                 कुरता
कुर्ती                 कुरती
कुर्बान             कुरवान
कुर्बानी            कुरवानी
कुरान              कुराण
कुर्ला           	 कुरल  
कुर्सी             	 कुरसी 
कुरान           	 कुराण
कुरू               	करना         
कुरेदना       	सोचणा
कुंडी             	धी
चंगा                   छैल़
चुंगल।               चुग़ल़  जाल़
चक्कर                जाल
चदेर                   चनदरा
चंचल                 चैचल़ भावुक
चंचलता             चैंचलता                        
चपल                 चपलता
चपल                 चप्पली
चंद                  कुछ  चन्द्रमा
चंदन                चन्दन का रूख
 हार                  माला
चंदला               चन्दरमे शाही
चदां                   चांद
चंचल             भावुक
चक               धरती
चकनाचूर          पीसण करी देणा
चकमक            अग्गी दा पत्थर
चकमा              धोखा देणा
चक्कर              वेहोशहोणा 
चकरानी             चकरानी 
चकला                चकला़
चकली़                गोल़ पत्थर
चकोतरा             चगोंतरा
चकोर                 चकोर 
चकोरी                चकोरी
चक्कर               जाल़ मे
चक्षु                    हाखीं 
चक्रव्यूह             अपणै जाल़े
चक्की              पीसणे वाले  पत्थर
चाकू                 करद
कंकड़          पत्थर टूटे टूकडे
कंक्रीट          वजरी टूटे पत्थर
कंगना           सूने चांदी का कडा
कंगनी            वंग
कंगला            बड़ा भारी गरीव
कंगाल             गठी कुछ नहीं होणा
कघां                लकड़ीया दा  मोटी काहनगी
कंघी                  काहनगी
अंधेरा               निहारा
कंचन                 सूना
कंज                  छोटी कुडी
कंजर           वदचलन माहणू
कंजरी          वदचलन जणास
कंजूस          कोहडी
कंटक            कंडा
कंठ              गल़ा
कथा             कहानी धार्मिक कथा
कंडा           भारे तोलने वाली मशीन
